epsilon,simNums,times,chosenArms,rewards,cumulativeRewards
0.1,1,1,0,0,0
0.1,1,2,1,0,0
0.1,1,3,2,0,0
0.1,1,4,3,0,0
0.1,1,5,4,1,1
0.1,1,6,4,1,2
0.1,1,7,4,1,3
0.1,1,8,4,0,3
0.1,1,9,0,0,3
0.1,1,10,1,0,3
0.1,1,11,2,0,3
0.1,1,12,3,0,3
0.1,1,13,4,1,4
0.1,1,14,4,1,5
0.1,1,15,4,1,6
0.1,1,16,4,1,7
0.1,1,17,4,1,8
0.1,1,18,0,0,8
0.1,1,19,1,0,8
0.1,1,20,2,0,8
0.1,1,21,3,0,8
0.1,1,22,4,1,9
0.1,1,23,4,1,10
0.1,1,24,4,1,11
0.1,1,25,4,1,12
0.1,1,26,4,0,12
0.1,1,27,4,1,13
0.1,1,28,4,1,14
0.1,1,29,4,0,14
0.1,1,30,0,0,14
0.1,1,31,1,0,14
0.1,1,32,2,0,14
0.1,1,33,3,1,15
0.1,1,34,3,0,15
0.1,1,35,4,1,16
0.1,1,36,4,1,17
0.1,1,37,4,1,18
0.1,1,38,4,1,19
0.1,1,39,4,1,20
0.1,1,40,4,1,21
0.1,1,41,4,1,22
0.1,1,42,4,1,23
0.1,1,43,4,1,24
0.1,1,44,3,0,24
0.1,1,45,4,1,25
0.1,1,46,4,1,26
0.1,1,47,4,0,26
0.1,1,48,0,0,26
0.1,1,49,1,0,26
0.1,1,50,2,0,26
0.1,1,51,4,1,27
0.1,1,52,4,1,28
0.1,1,53,4,1,29
0.1,1,54,4,1,30
0.1,1,55,4,1,31
0.1,1,56,4,1,32
0.1,1,57,4,1,33
0.1,1,58,4,0,33
0.1,1,59,4,0,33
0.1,1,60,3,0,33
0.1,1,61,4,0,33
0.1,1,62,0,0,33
0.1,1,63,1,0,33
0.1,1,64,2,0,33
0.1,1,65,4,1,34
0.1,1,66,4,1,35
0.1,1,67,4,1,36
0.1,1,68,4,1,37
0.1,1,69,4,1,38
0.1,1,70,4,1,39
0.1,1,71,4,1,40
0.1,1,72,4,1,41
0.1,1,73,4,1,42
0.1,1,74,4,1,43
0.1,1,75,4,1,44
0.1,1,76,4,1,45
0.1,1,77,4,1,46
0.1,1,78,4,1,47
0.1,1,79,4,1,48
0.1,1,80,4,1,49
0.1,1,81,4,1,50
0.1,1,82,4,1,51
0.1,1,83,4,1,52
0.1,1,84,4,1,53
0.1,1,85,4,1,54
0.1,1,86,3,0,54
0.1,1,87,4,1,55
0.1,1,88,4,1,56
0.1,1,89,4,1,57
0.1,1,90,4,1,58
0.1,1,91,4,1,59
0.1,1,92,4,1,60
0.1,1,93,4,1,61
0.1,1,94,4,1,62
0.1,1,95,4,1,63
0.1,1,96,4,0,63
0.1,1,97,4,1,64
0.1,1,98,4,1,65
0.1,1,99,4,1,66
0.1,1,100,4,0,66
0.1,1,101,0,0,66
0.1,1,102,1,0,66
0.1,1,103,2,0,66
0.1,1,104,4,1,67
0.1,1,105,4,1,68
0.1,1,106,4,1,69
0.1,1,107,4,1,70
0.1,1,108,4,1,71
0.1,1,109,4,1,72
0.1,1,110,4,1,73
0.1,1,111,4,1,74
0.1,1,112,4,1,75
0.1,1,113,4,1,76
0.1,1,114,4,1,77
0.1,1,115,4,1,78
0.1,1,116,4,0,78
0.1,1,117,4,1,79
0.1,1,118,3,0,79
0.1,1,119,4,1,80
0.1,1,120,4,0,80
0.1,1,121,4,1,81
0.1,1,122,4,1,82
0.1,1,123,4,1,83
0.1,1,124,4,1,84
0.1,1,125,4,1,85
0.1,1,126,4,1,86
0.1,1,127,4,1,87
0.1,1,128,4,1,88
0.1,1,129,4,1,89
0.1,1,130,4,1,90
0.1,1,131,4,1,91
0.1,1,132,4,1,92
0.1,1,133,4,1,93
0.1,1,134,4,1,94
0.1,1,135,4,1,95
0.1,1,136,4,1,96
0.1,1,137,4,1,97
0.1,1,138,4,1,98
0.1,1,139,4,1,99
0.1,1,140,4,1,100
0.1,1,141,4,0,100
0.1,1,142,4,1,101
0.1,1,143,4,1,102
0.1,1,144,0,0,102
0.1,1,145,1,0,102
0.1,1,146,2,0,102
0.1,1,147,4,1,103
0.1,1,148,4,1,104
0.1,1,149,4,1,105
0.1,1,150,4,1,106
0.1,1,151,4,0,106
0.1,1,152,4,1,107
0.1,1,153,4,1,108
0.1,1,154,4,1,109
0.1,1,155,4,1,110
0.1,1,156,4,1,111
0.1,1,157,4,1,112
0.1,1,158,4,0,112
0.1,1,159,4,1,113
0.1,1,160,4,1,114
0.1,1,161,3,0,114
0.1,1,162,4,1,115
0.1,1,163,4,1,116
0.1,1,164,4,1,117
0.1,1,165,4,1,118
0.1,1,166,4,1,119
0.1,1,167,4,1,120
0.1,1,168,4,1,121
0.1,1,169,4,1,122
0.1,1,170,4,1,123
0.1,1,171,4,1,124
0.1,1,172,4,1,125
0.1,1,173,4,1,126
0.1,1,174,4,1,127
0.1,1,175,4,1,128
0.1,1,176,4,0,128
0.1,1,177,4,1,129
0.1,1,178,4,1,130
0.1,1,179,4,1,131
0.1,1,180,4,1,132
0.1,1,181,4,1,133
0.1,1,182,4,0,133
0.1,1,183,4,1,134
0.1,1,184,4,1,135
0.1,1,185,4,1,136
0.1,1,186,4,1,137
0.1,1,187,4,1,138
0.1,1,188,4,1,139
0.1,1,189,4,1,140
0.1,1,190,4,1,141
0.1,1,191,4,1,142
0.1,1,192,4,0,142
0.1,1,193,4,1,143
0.1,1,194,4,1,144
0.1,1,195,4,1,145
0.1,1,196,4,1,146
0.1,1,197,4,1,147
0.1,1,198,4,1,148
0.1,1,199,4,1,149
0.1,1,200,0,0,149
0.1,1,201,1,0,149
0.1,1,202,2,0,149
0.1,1,203,4,0,149
0.1,1,204,4,1,150
0.1,1,205,4,1,151
0.1,1,206,4,1,152
0.1,1,207,4,1,153
0.1,1,208,4,1,154
0.1,1,209,4,0,154
0.1,1,210,4,1,155
0.1,1,211,4,1,156
0.1,1,212,4,1,157
0.1,1,213,4,1,158
0.1,1,214,4,1,159
0.1,1,215,4,1,160
0.1,1,216,4,1,161
0.1,1,217,4,1,162
0.1,1,218,4,1,163
0.1,1,219,4,1,164
0.1,1,220,4,1,165
0.1,1,221,4,1,166
0.1,1,222,3,0,166
0.1,1,223,4,1,167
0.1,1,224,4,1,168
0.1,1,225,4,1,169
0.1,1,226,4,1,170
0.1,1,227,4,1,171
0.1,1,228,4,1,172
0.1,1,229,4,1,173
0.1,1,230,4,1,174
0.1,1,231,4,1,175
0.1,1,232,4,1,176
0.1,1,233,4,1,177
0.1,1,234,4,1,178
0.1,1,235,4,1,179
0.1,1,236,4,1,180
0.1,1,237,4,1,181
0.1,1,238,4,0,181
0.1,1,239,4,1,182
0.1,1,240,4,1,183
0.1,1,241,4,1,184
0.1,1,242,4,1,185
0.1,1,243,4,1,186
0.1,1,244,4,1,187
0.1,1,245,4,1,188
0.1,1,246,4,1,189
0.1,1,247,4,1,190
0.1,1,248,4,1,191
0.1,1,249,4,1,192
0.1,1,250,4,1,193
0.1,2,1,0,0,0
0.1,2,2,1,0,0
0.1,2,3,2,0,0
0.1,2,4,3,0,0
0.1,2,5,4,1,1
0.1,2,6,4,1,2
0.1,2,7,4,1,3
0.1,2,8,4,1,4
0.1,2,9,0,0,4
0.1,2,10,1,0,4
0.1,2,11,2,0,4
0.1,2,12,3,1,5
0.1,2,13,4,1,6
0.1,2,14,3,0,6
0.1,2,15,4,1,7
0.1,2,16,4,0,7
0.1,2,17,4,1,8
0.1,2,18,4,0,8
0.1,2,19,3,0,8
0.1,2,20,0,0,8
0.1,2,21,1,0,8
0.1,2,22,2,1,9
0.1,2,23,2,0,9
0.1,2,24,4,1,10
0.1,2,25,4,0,10
0.1,2,26,2,0,10
0.1,2,27,3,0,10
